,leaflet_ID,Party,Constituency,mention_Candidate,mention_Other party/leader/candidate,mention_Party leader,mention_Tactical situation,issue_Brexit/Europe,issue_Economy,issue_Education,issue_Environment,issue_Governance,issue_Health,issue_Immigration,issue_Social welfare,num_key_policies,yimby_nimby,num_quantitative_statements,num_qualitative_statements,num_local_issues,num_national_issues,num_endorsements,negative_local_issues,negative_national_issues,negative_leader_of_opponents_party,negative_opposite_candidate_no_name,negative_opposite_candidate_with_name,is_local,Constituency name,Region name,Member first name,Member surname,Member gender,Con,Lab,LD,SNP,Percentage of people aged 18-24,Percentage of people aged 65+,Percentage of people born outside the UK,Percentage of people who have a religion,Percentage of households that are owner-occupiers,Percentage of households that are families with dependent children,"Percentage of 16+ year olds in ""routine and manual"" occupations",Percentage of 16+ year olds with higher education qualifications,Percentage of people who are White,Percentage of people who are disabled,Percentage of people aged 16+ identifying as LGB+,Percentage of people aged 16+ who are veterans
0,31182,Liberal Democrats,Cambridge,1,1,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,4,0,1,0,0,1,1,0,0,0,Cambridge,East of England,Daniel,Zeichner,Male,0.1552606599787824,0.4797409220346554,0.3003405981871987,0.0,0.191675327297061,0.112839914166299,0.380726296664598,0.452241919444922,0.451022471678257,0.255127728942264,0.145745325128788,0.474119045660837,0.748934547575255,0.147779015604088,0.0664581294561722,0.0154545522516393
1,31193,Conservative Party,South Holland and The Deepings,1,0,0,0,1,0,0,0,0,0,0,0,0,OTHER,1,5,2,3,1,0,0,0,0,0,0,South Holland and The Deepings,East Midlands,John,Hayes,Male,0.7592264991154761,0.13217023526301877,0.06557677057280546,0.0,0.0645945032562133,0.238868134778915,0.134269873311351,0.595555393173245,0.712989392067482,0.259644264564916,0.326656253710757,0.177217964761009,0.963463980051333,0.18540203322951,0.0173070152275328,0.0476338360080745
2,31210,Liberal Democrats,South Cambridgeshire,1,0,0,0,0,0,1,1,0,0,0,0,2,OTHER,0,2,0,2,0,0,1,0,0,0,0,South Cambridgeshire,East of England,Anthony,Browne,Male,0.4634015150383242,0.11658623317246634,0.4200122517892095,0.0,0.0703276226275672,0.188758503811153,0.176117197288528,0.499847396912599,0.7126535503845,0.313853159702804,0.1549242606782,0.395418694681381,0.874070325928068,0.145341225794534,0.0259138733055162,0.0276374442793462
3,31222,Labour Party,Aberconwy,0,1,0,0,1,0,0,1,0,1,0,0,6,OTHER,2,4,0,6,1,0,1,0,0,0,0,Aberconwy,Wales,Robin,Millar,Male,0.46091322767927195,0.397081437313667,0.0571473403420681,0.0,0.0593731540981259,0.274884994719602,0.0560428152072743,0.525221064690509,0.694332454644131,0.221894867421306,0.267433951457006,0.287266413689411,0.972811398091965,0.211588028925324,0.0231760746714077,0.0492768669005513
4,31260,Conservative Party,Sittingbourne and Sheppey,1,1,1,0,1,0,0,0,0,0,0,0,1,OTHER,1,2,2,1,0,0,0,1,0,0,1,Sittingbourne and Sheppey,South East,Gordon,Henderson,Male,0.6759933066116667,0.19969257111725103,0.06251702533369655,0.0,0.0732770917390064,0.182336878999063,0.0828238861446667,0.495410899724491,0.681101871101871,0.313937050434493,0.276658352488548,0.172372475179733,0.932924145351396,0.195660325068062,0.022988622925417,0.031006993691006
5,31273,Labour Party,Cambridge,1,1,0,0,1,0,0,1,0,1,0,0,1,OTHER,0,1,0,1,0,0,0,1,0,0,0,Cambridge,East of England,Daniel,Zeichner,Male,0.1552606599787824,0.4797409220346554,0.3003405981871987,0.0,0.191675327297061,0.112839914166299,0.380726296664598,0.452241919444922,0.451022471678257,0.255127728942264,0.145745325128788,0.474119045660837,0.748934547575255,0.147779015604088,0.0664581294561722,0.0154545522516393
6,31292,Conservative Party,Winchester,1,1,0,1,1,0,0,0,0,1,0,0,1,OTHER,2,2,1,2,0,0,1,1,0,0,0,Winchester,South East,Stephen,Brine,Male,0.4827644761419596,0.04623875021226015,0.4660383766344031,0.0,0.105376890809711,0.212552923116035,0.128941733238161,0.522357266478278,0.678043451875228,0.279843681732123,0.157028591543787,0.377076590626864,0.91376832142054,0.154706612822794,0.0311550604634539,0.0396984482404592
7,31302,Liberal Democrats,Colchester,1,0,0,1,0,0,0,0,0,0,0,0,1,OTHER,1,3,1,1,3,0,1,0,0,1,1,Colchester,East of England,Will,Quince,Male,0.5043186629943979,0.32776872201300283,0.13924643546362392,0.0,0.107774037025375,0.142450004440461,0.183697854853424,0.478431467532153,0.570272115478397,0.309156880340213,0.227763379917811,0.261872083447708,0.834556478633307,0.17085281081212,0.0349655290756947,0.0363149013813872
8,31320,Green Party,Sittingbourne and Sheppey,1,0,0,0,0,1,1,1,0,1,0,0,7,YIMBY,1,2,1,1,0,0,1,0,1,0,1,Sittingbourne and Sheppey,South East,Gordon,Henderson,Male,0.6759933066116667,0.19969257111725103,0.06251702533369655,0.0,0.0732770917390064,0.182336878999063,0.0828238861446667,0.495410899724491,0.681101871101871,0.313937050434493,0.276658352488548,0.172372475179733,0.932924145351396,0.195660325068062,0.022988622925417,0.031006993691006
9,31332,Conservative Party,Reading West,1,1,1,0,1,1,1,1,0,1,0,0,6,YIMBY,3,3,8,6,0,0,1,1,0,0,1,Reading West,South East,Alok,Sharma,Male,0.4840649309414193,0.40236545483410063,0.08850611208128274,0.0,0.0712480871205381,0.149649453717214,0.256103420050536,0.573454571337058,0.608004813585007,0.317526462395543,0.23752624648564,0.275819424178796,0.730446542167496,0.147015908039432,0.0250651694405454,0.0238887504893413
