leaflet_ID,URL,image_urls,local_images,Election:,Party:,Constituency:,Mentions:,Issues Covered:,Unnamed: 8,Unnamed: 9,Unnamed: 10
31332,https://www.openelections.co.uk/leaflets/31332/,"['https://cdn.openelections.co.uk/uploads/2020/08/17140_1-719x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17140_2-719x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17140_3-719x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17140_4-719x1024.jpg']","['leaflet_images/31332/17140_1-719x1024.jpg', 'leaflet_images/31332/17140_2-719x1024.jpg', 'leaflet_images/31332/17140_3-719x1024.jpg', 'leaflet_images/31332/17140_4-719x1024.jpg']",2019 General Election,Conservative Party,Reading West,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Health",,,
31351,https://www.openelections.co.uk/leaflets/31351/,['https://cdn.openelections.co.uk/uploads/2020/08/17147_1-scaled-e1632751759574-1024x768.jpg'],['leaflet_images/31351/17147_1-scaled-e1632751759574-1024x768.jpg'],2019 General Election,Conservative Party,Reading West,"Other party/leader/candidate, Party leader","Brexit/Europe, Education, Governance, Health",,,
31360,https://www.openelections.co.uk/leaflets/31360/,"['https://cdn.openelections.co.uk/uploads/2020/08/17153_1-719x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17153_2-719x1024.jpg']","['leaflet_images/31360/17153_1-719x1024.jpg', 'leaflet_images/31360/17153_2-719x1024.jpg']",2019 General Election,Conservative Party,Southampton Test,,,,,
31372,https://www.openelections.co.uk/leaflets/31372/,"['https://cdn.openelections.co.uk/uploads/2020/08/17157_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17157_2-768x1024.jpg']","['leaflet_images/31372/17157_1-768x1024.jpg', 'leaflet_images/31372/17157_2-768x1024.jpg']",2019 General Election,Labour Party,Broxtowe,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health, Social welfare",,,
31385,https://www.openelections.co.uk/leaflets/31385/,['https://cdn.openelections.co.uk/uploads/2020/08/17163_1-725x1024.jpg'],['leaflet_images/31385/17163_1-725x1024.jpg'],2019 General Election,Liberal Democrats,Newbury,"Other party/leader/candidate, Party leader","Economy, Education, Environment, Governance, Health",,,
31401,https://www.openelections.co.uk/leaflets/31401/,"['https://cdn.openelections.co.uk/uploads/2020/08/17171_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17171_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17171_3-768x1024.jpg']","['leaflet_images/31401/17171_1-768x1024.jpg', 'leaflet_images/31401/17171_2-768x1024.jpg', 'leaflet_images/31401/17171_3-768x1024.jpg']",2019 General Election,Conservative Party,Barrow and Furness,"Other party/leader/candidate, Party leader","Brexit/Europe, Education, Health",,,
31413,https://www.openelections.co.uk/leaflets/31413/,['https://cdn.openelections.co.uk/uploads/2020/08/17174_1-733x1024.jpg'],['leaflet_images/31413/17174_1-733x1024.jpg'],2019 General Election,Conservative Party,Witney,"Candidate, Other party/leader/candidate","Economy, Education, Environment, Health",,,
31433,https://www.openelections.co.uk/leaflets/31433/,['https://cdn.openelections.co.uk/uploads/2020/08/17180_1-768x1024.jpg'],['leaflet_images/31433/17180_1-768x1024.jpg'],2019 General Election,Liberal Democrats,Vauxhall,"Candidate, Other party/leader/candidate, Party leader",Economy,,,
31444,https://www.openelections.co.uk/leaflets/31444/,"['https://cdn.openelections.co.uk/uploads/2020/08/17184_1-1024x719.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17184_2-1024x719.jpg']","['leaflet_images/31444/17184_1-1024x719.jpg', 'leaflet_images/31444/17184_2-1024x719.jpg']",2019 General Election,Conservative Party,Brecon and Radnorshire,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Governance, Health",,,
31462,https://www.openelections.co.uk/leaflets/31462/,['https://cdn.openelections.co.uk/uploads/2020/08/17188_1-1024x894.jpg'],['leaflet_images/31462/17188_1-1024x894.jpg'],2019 General Election,Brexit/Reform Party,West Bromwich West,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy",,,
31471,https://www.openelections.co.uk/leaflets/31471/,"['https://cdn.openelections.co.uk/uploads/2020/08/17191_1-1024x729.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17191_2-1024x729.jpg']","['leaflet_images/31471/17191_1-1024x729.jpg', 'leaflet_images/31471/17191_2-1024x729.jpg']",2019 General Election,Labour Party,Ealing Southall,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health",,,
31482,https://www.openelections.co.uk/leaflets/31482/,"['https://cdn.openelections.co.uk/uploads/2020/08/17194_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17194_2-768x1024.jpg']","['leaflet_images/31482/17194_1-768x1024.jpg', 'leaflet_images/31482/17194_2-768x1024.jpg']",2019 General Election,Labour Party,Sheffield Central,"Candidate, Other party/leader/candidate","Education, Environment, Health",,,
31490,https://www.openelections.co.uk/leaflets/31490/,['https://cdn.openelections.co.uk/uploads/2020/08/17198_1-723x1024.jpg'],['leaflet_images/31490/17198_1-723x1024.jpg'],2019 General Election,Scottish National Party,Edinburgh North and Leith,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Environment, Social welfare",,,
31511,https://www.openelections.co.uk/leaflets/31511/,['https://cdn.openelections.co.uk/uploads/2020/08/17205_1-768x1024.jpg'],['leaflet_images/31511/17205_1-768x1024.jpg'],2019 General Election,Labour Party,Vauxhall,Candidate,,,,
31520,https://www.openelections.co.uk/leaflets/31520/,"['https://cdn.openelections.co.uk/uploads/2020/08/17209_1-742x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17209_2-742x1024.jpg']","['leaflet_images/31520/17209_1-742x1024.jpg', 'leaflet_images/31520/17209_2-742x1024.jpg']",2019 General Election,Labour Party,Southampton Test,"Candidate, Other party/leader/candidate","Brexit/Europe, Education, Environment, Health",,,
31531,https://www.openelections.co.uk/leaflets/31531/,"['https://cdn.openelections.co.uk/uploads/2020/08/17213_1-723x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17213_2-723x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17213_3-723x1024.jpg']","['leaflet_images/31531/17213_1-723x1024.jpg', 'leaflet_images/31531/17213_2-723x1024.jpg', 'leaflet_images/31531/17213_3-723x1024.jpg']",2019 General Election,Conservative Party,Chingford and Woodford Green,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Health, Immigration",,,
31540,https://www.openelections.co.uk/leaflets/31540/,['https://cdn.openelections.co.uk/uploads/2020/08/17216_1-689x1024.jpg'],['leaflet_images/31540/17216_1-689x1024.jpg'],2019 General Election,Scottish National Party,Glasgow Central,Candidate,"Brexit/Europe, Economy, Environment, Governance",,,
31562,https://www.openelections.co.uk/leaflets/31562/,['https://cdn.openelections.co.uk/uploads/2020/08/17222_1-1024x732.jpg'],['leaflet_images/31562/17222_1-1024x732.jpg'],2019 General Election,Liberal Democrats,Altrincham and Sale West,"Other party/leader/candidate, Party leader",,,,
31570,https://www.openelections.co.uk/leaflets/31570/,"['https://cdn.openelections.co.uk/uploads/2020/08/17224_1-1024x745.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17224_2-1024x745.jpg']","['leaflet_images/31570/17224_1-1024x745.jpg', 'leaflet_images/31570/17224_2-1024x745.jpg']",2019 General Election,Green Party,Tewkesbury,Candidate,"Brexit/Europe, Environment",,,
31591,https://www.openelections.co.uk/leaflets/31591/,"['https://cdn.openelections.co.uk/uploads/2020/08/17232_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17232_2-768x1024.jpg']","['leaflet_images/31591/17232_1-768x1024.jpg', 'leaflet_images/31591/17232_2-768x1024.jpg']",2019 General Election,Conservative Party,Shipley,Other party/leader/candidate,"Brexit/Europe, Economy, Education",,,
31602,https://www.openelections.co.uk/leaflets/31602/,"['https://cdn.openelections.co.uk/uploads/2020/08/17235_1-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17235_2-724x1024.jpg']","['leaflet_images/31602/17235_1-724x1024.jpg', 'leaflet_images/31602/17235_2-724x1024.jpg']",2019 General Election,Liberal Democrats,Skipton and Ripon,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Environment, Governance",,,
31612,https://www.openelections.co.uk/leaflets/31612/,"['https://cdn.openelections.co.uk/uploads/2020/08/17238_1-543x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17238_2-543x1024.jpg']","['leaflet_images/31612/17238_1-543x1024.jpg', 'leaflet_images/31612/17238_2-543x1024.jpg']",2019 General Election,Conservative Party,Gordon,"Candidate, Other party/leader/candidate, Tactical situation","Economy, Environment, Governance",,,
31622,https://www.openelections.co.uk/leaflets/31622/,"['https://cdn.openelections.co.uk/uploads/2020/08/17240_1-736x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17240_2-736x1024.jpg']","['leaflet_images/31622/17240_1-736x1024.jpg', 'leaflet_images/31622/17240_2-736x1024.jpg']",2019 General Election,Liberal Democrats,Chingford and Woodford Green,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health",,,
31642,https://www.openelections.co.uk/leaflets/31642/,"['https://cdn.openelections.co.uk/uploads/2020/08/17246_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17246_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17246_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17246_4-768x1024.jpg']","['leaflet_images/31642/17246_1-768x1024.jpg', 'leaflet_images/31642/17246_2-768x1024.jpg', 'leaflet_images/31642/17246_3-768x1024.jpg', 'leaflet_images/31642/17246_4-768x1024.jpg']",2019 General Election,Conservative Party,Mid Sussex,"Candidate, Other party/leader/candidate","Economy, Education, Environment, Health",,,
31650,https://www.openelections.co.uk/leaflets/31650/,['https://cdn.openelections.co.uk/uploads/2020/08/17248_1-505x1024.jpg'],['leaflet_images/31650/17248_1-505x1024.jpg'],2019 General Election,Labour Party,Airdrie and Shotts,Candidate,"Economy, Environment, Social welfare",,,
31662,https://www.openelections.co.uk/leaflets/31662/,['https://cdn.openelections.co.uk/uploads/2020/08/17252_1-1024x504.jpg'],['leaflet_images/31662/17252_1-1024x504.jpg'],2019 General Election,Liberal Democrats,Putney,"Candidate, Other party/leader/candidate, Party leader, Tactical situation","Brexit/Europe, Economy, Education, Environment, Health",,,
31672,https://www.openelections.co.uk/leaflets/31672/,['https://cdn.openelections.co.uk/uploads/2020/08/17254_1-1024x736.jpg'],['leaflet_images/31672/17254_1-1024x736.jpg'],2019 General Election,Conservative Party,West Bromwich West,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
31690,https://www.openelections.co.uk/leaflets/31690/,['https://cdn.openelections.co.uk/uploads/2020/08/17262_1-768x1024.jpg'],['leaflet_images/31690/17262_1-768x1024.jpg'],2019 General Election,Labour Party,Leeds North West,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health, Social welfare",,,
31702,https://www.openelections.co.uk/leaflets/31702/,['https://cdn.openelections.co.uk/uploads/2020/08/17266_1-794x1024.jpg'],['leaflet_images/31702/17266_1-794x1024.jpg'],2019 General Election,Green Party,West Dorset,Candidate,"Brexit/Europe, Environment",,,
31721,https://www.openelections.co.uk/leaflets/31721/,"['https://cdn.openelections.co.uk/uploads/2020/08/17271_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17271_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17271_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17271_4-768x1024.jpg']","['leaflet_images/31721/17271_1-768x1024.jpg', 'leaflet_images/31721/17271_2-768x1024.jpg', 'leaflet_images/31721/17271_3-768x1024.jpg', 'leaflet_images/31721/17271_4-768x1024.jpg']",2019 General Election,Conservative Party,Congleton,Candidate,"Economy, Education, Environment, Health",,,
31734,https://www.openelections.co.uk/leaflets/31734/,['https://cdn.openelections.co.uk/uploads/2020/08/17274_1-838x1024.jpg'],['leaflet_images/31734/17274_1-838x1024.jpg'],2019 General Election,Liberal Democrats,Wantage,"Candidate, Other party/leader/candidate, Party leader, Tactical situation","Brexit/Europe, Economy, Education, Environment",,,
31742,https://www.openelections.co.uk/leaflets/31742/,['https://cdn.openelections.co.uk/uploads/2020/08/17277_1-768x1024.jpg'],['leaflet_images/31742/17277_1-768x1024.jpg'],2019 General Election,Labour Party,Birmingham Ladywood,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health",,,
31894,https://www.openelections.co.uk/leaflets/31894/,"['https://cdn.openelections.co.uk/uploads/2020/08/17281_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17281_2-768x1024.jpg']","['leaflet_images/31894/17281_1-768x1024.jpg', 'leaflet_images/31894/17281_2-768x1024.jpg']",2019 General Election,Conservative Party,Birmingham Erdington,"Candidate, Other party/leader/candidate","Education, Environment, Health",,,
31904,https://www.openelections.co.uk/leaflets/31904/,"['https://cdn.openelections.co.uk/uploads/2020/08/17282_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17282_2-768x1024.jpg']","['leaflet_images/31904/17282_1-768x1024.jpg', 'leaflet_images/31904/17282_2-768x1024.jpg']",2019 General Election,Conservative Party,Midlothian,"Candidate, Other party/leader/candidate, Tactical situation",Governance,,,
31919,https://www.openelections.co.uk/leaflets/31919/,"['https://cdn.openelections.co.uk/uploads/2020/08/17284_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17284_2-768x1024.jpg']","['leaflet_images/31919/17284_1-768x1024.jpg', 'leaflet_images/31919/17284_2-768x1024.jpg']",2019 General Election,Labour Party,Lewisham West and Penge,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Environment",,,
31932,https://www.openelections.co.uk/leaflets/31932/,['https://cdn.openelections.co.uk/uploads/2020/08/17287_1-768x1024.jpg'],['leaflet_images/31932/17287_1-768x1024.jpg'],2019 General Election,Liberal Democrats,South West Wiltshire,"Candidate, Other party/leader/candidate, Party leader","Economy, Education, Environment, Health",,,
31944,https://www.openelections.co.uk/leaflets/31944/,['https://cdn.openelections.co.uk/uploads/2020/08/17290_1-1024x722.jpg'],['leaflet_images/31944/17290_1-1024x722.jpg'],2019 General Election,Scottish National Party,Gordon,"Candidate, Other party/leader/candidate, Tactical situation","Brexit/Europe, Economy",,,
31954,https://www.openelections.co.uk/leaflets/31954/,['https://cdn.openelections.co.uk/uploads/2020/08/17295_1-796x1024.jpg'],['leaflet_images/31954/17295_1-796x1024.jpg'],2019 General Election,Conservative Party,West Bromwich West,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Governance, Health, Immigration",,,
31960,https://www.openelections.co.uk/leaflets/31960/,"['https://cdn.openelections.co.uk/uploads/2020/08/17297_1-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17297_2-724x1024.jpg']","['leaflet_images/31960/17297_1-724x1024.jpg', 'leaflet_images/31960/17297_2-724x1024.jpg']",2019 General Election,Conservative Party,Welwyn Hatfield,"Candidate, Other party/leader/candidate",Health,,,
31973,https://www.openelections.co.uk/leaflets/31973/,"['https://cdn.openelections.co.uk/uploads/2020/08/17299_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17299_2-768x1024.jpg']","['leaflet_images/31973/17299_1-768x1024.jpg', 'leaflet_images/31973/17299_2-768x1024.jpg']",2019 General Election,Liberal Democrats,North East Fife,"Candidate, Tactical situation","Brexit/Europe, Education, Governance, Health",,,
31980,https://www.openelections.co.uk/leaflets/31980/,['https://cdn.openelections.co.uk/uploads/2020/08/17301_1-793x1024.jpg'],['leaflet_images/31980/17301_1-793x1024.jpg'],2019 General Election,Green Party,Mid Worcestershire,Candidate,"Brexit/Europe, Environment",,,
32000,https://www.openelections.co.uk/leaflets/32000/,"['https://cdn.openelections.co.uk/uploads/2020/08/17304_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17304_2-768x1024.jpg']","['leaflet_images/32000/17304_1-768x1024.jpg', 'leaflet_images/32000/17304_2-768x1024.jpg']",2019 General Election,Liberal Democrats,South East Cambridgeshire,"Candidate, Tactical situation","Brexit/Europe, Education, Environment, Health",,,
32012,https://www.openelections.co.uk/leaflets/32012/,"['https://cdn.openelections.co.uk/uploads/2020/08/17307_1-730x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17307_2-730x1024.jpg']","['leaflet_images/32012/17307_1-730x1024.jpg', 'leaflet_images/32012/17307_2-730x1024.jpg']",2019 General Election,Conservative Party,Brecon and Radnorshire,,"Brexit/Europe, Economy, Education, Health",,,
32032,https://www.openelections.co.uk/leaflets/32032/,"['https://cdn.openelections.co.uk/uploads/2020/08/17313_1-724x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17313_2-724x1024.jpg']","['leaflet_images/32032/17313_1-724x1024.jpg', 'leaflet_images/32032/17313_2-724x1024.jpg']",2019 General Election,Liberal Democrats,Sittingbourne and Sheppey,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health",,,
32041,https://www.openelections.co.uk/leaflets/32041/,['https://cdn.openelections.co.uk/uploads/2020/08/17315_1-1024x735.jpg'],['leaflet_images/32041/17315_1-1024x735.jpg'],2019 General Election,Plaid Cymru,Cardiff West,"Candidate, Other party/leader/candidate, Tactical situation","Brexit/Europe, Education, Health, Social welfare",,,
32051,https://www.openelections.co.uk/leaflets/32051/,"['https://cdn.openelections.co.uk/uploads/2020/08/17317_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17317_2-768x1024.jpg']","['leaflet_images/32051/17317_1-768x1024.jpg', 'leaflet_images/32051/17317_2-768x1024.jpg']",2019 General Election,Green Party,Oxford East,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Environment, Health",,,
32062,https://www.openelections.co.uk/leaflets/32062/,['https://cdn.openelections.co.uk/uploads/2020/08/17320_1-576x1024.jpg'],['leaflet_images/32062/17320_1-576x1024.jpg'],2019 General Election,Conservative Party,Workington,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Governance, Health, Immigration",,,
32070,https://www.openelections.co.uk/leaflets/32070/,['https://cdn.openelections.co.uk/uploads/2020/08/17322_1-756x1024.jpg'],['leaflet_images/32070/17322_1-756x1024.jpg'],2019 General Election,Conservative Party,Newport West,,"Brexit/Europe, Economy, Education, Health",,,
32080,https://www.openelections.co.uk/leaflets/32080/,['https://cdn.openelections.co.uk/uploads/2020/08/17326_1-768x1024.jpg'],['leaflet_images/32080/17326_1-768x1024.jpg'],2019 General Election,Liberal Democrats,Guildford,Other party/leader/candidate,"Brexit/Europe, Education",,,
32090,https://www.openelections.co.uk/leaflets/32090/,"['https://cdn.openelections.co.uk/uploads/2020/08/17327_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17327_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17327_3-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17327_4-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17327_5-768x1024.jpg']","['leaflet_images/32090/17327_1-768x1024.jpg', 'leaflet_images/32090/17327_2-768x1024.jpg', 'leaflet_images/32090/17327_3-768x1024.jpg', 'leaflet_images/32090/17327_4-768x1024.jpg', 'leaflet_images/32090/17327_5-768x1024.jpg']",2019 General Election,Conservative Party,Salisbury,"Candidate, Other party/leader/candidate","Brexit/Europe, Economy, Education, Environment, Health",,,
32102,https://www.openelections.co.uk/leaflets/32102/,"['https://cdn.openelections.co.uk/uploads/2020/08/17329_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17329_2-768x1024.jpg']","['leaflet_images/32102/17329_1-768x1024.jpg', 'leaflet_images/32102/17329_2-768x1024.jpg']",2019 General Election,Conservative Party,Southampton Itchen,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Health",,,
32123,https://www.openelections.co.uk/leaflets/32123/,"['https://cdn.openelections.co.uk/uploads/2020/08/17333_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17333_2-768x1024.jpg']","['leaflet_images/32123/17333_1-768x1024.jpg', 'leaflet_images/32123/17333_2-768x1024.jpg']",2019 General Election,Liberal Democrats,Southampton Itchen,"Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Health",,,
32138,https://www.openelections.co.uk/leaflets/32138/,['https://cdn.openelections.co.uk/uploads/2020/08/17335_1-768x1024.jpg'],['leaflet_images/32138/17335_1-768x1024.jpg'],2019 General Election,Green Party,Sutton Coldfield,,"Brexit/Europe, Environment",,,
32154,https://www.openelections.co.uk/leaflets/32154/,"['https://cdn.openelections.co.uk/uploads/2020/08/17338_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17338_2-768x1024.jpg']","['leaflet_images/32154/17338_1-768x1024.jpg', 'leaflet_images/32154/17338_2-768x1024.jpg']",2019 General Election,Conservative Party,Pendle,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Health, Immigration",,,
32160,https://www.openelections.co.uk/leaflets/32160/,"['https://cdn.openelections.co.uk/uploads/2020/08/17341_1-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17341_2-768x1024.jpg', 'https://cdn.openelections.co.uk/uploads/2020/08/17341_3-768x1024.jpg']","['leaflet_images/32160/17341_1-768x1024.jpg', 'leaflet_images/32160/17341_2-768x1024.jpg', 'leaflet_images/32160/17341_3-768x1024.jpg']",2019 General Election,Conservative Party,North East Hampshire,"Candidate, Other party/leader/candidate, Party leader","Brexit/Europe, Economy, Education, Environment, Health",,,
32182,https://www.openelections.co.uk/leaflets/32182/,['https://cdn.openelections.co.uk/uploads/2020/08/17347_1-729x1024.jpg'],['leaflet_images/32182/17347_1-729x1024.jpg'],2019 General Election,Brexit/Reform Party,Sedgefield,"Other party/leader/candidate, Party leader, Tactical situation",Brexit/Europe,,,
